granularity,w_load_days,h_horizon_days,w_months_equiv,h_months_equiv,n_decision_points,n_positive_targets,roc_auc,youden_threshold,sensitivity,specificity,PPV,NPV,TP,FN,FP,TN
daily,90,180,3.0,6.0,31906,7522,0.7125232192916525,0.5484821319580078,0.6734910927944695,0.6651902887139107,0.3829176114890401,0.8684943242664382,5066,2456,8164,16220
weekly,90,180,3.0,6.0,4615,1082,0.7128390203170215,0.5676344570186403,0.6589648798521257,0.6815737333710727,0.38792165397170836,0.8671227943824271,713,369,1125,2408
biweekly,90,180,3.0,6.0,2340,546,0.7116987434713187,0.5530341929652625,0.6776556776556777,0.6661092530657748,0.38183694530443757,0.8716265499635303,370,176,599,1195
monthly_sample,90,180,3.0,6.0,1125,263,0.7124513687330728,0.5498070062183943,0.6844106463878327,0.6624129930394431,0.3821656050955414,0.8730886850152905,180,83,291,571
weekly_collapsed,90,180,3.0,6.0,3570,869,0.7315084682866891,0.49001231445715976,0.7422324510932106,0.6327286190299889,0.39401343921808185,0.884117951370926,645,224,992,1709
biweekly_collapsed,90,180,3.0,6.0,1873,453,0.721408139787955,0.5123277542491754,0.7130242825607064,0.6429577464788733,0.3891566265060241,0.87535953978907,323,130,507,913
monthly_collapsed,90,180,3.0,6.0,890,216,0.7303618529508737,1.6107623935677098,0.7037037037037037,0.6646884272997032,0.4021164021164021,0.875,152,64,226,448
daily,120,90,4.0,3.0,38724,4186,0.6814858251643696,0.3944242280597488,0.8339703774486383,0.46713764549192194,0.15944279515871204,0.9587022401806405,3491,695,18404,16134
weekly,120,90,4.0,3.0,5596,600,0.6816589938617561,0.39455771988088434,0.8383333333333334,0.46717373899119297,0.15892575039494472,0.9600987248046071,503,97,2662,2334
biweekly,120,90,4.0,3.0,2828,302,0.6803941000351312,0.39279266018420456,0.8410596026490066,0.4651623119556611,0.15825545171339564,0.9607522485690924,254,48,1351,1175
monthly_sample,120,90,4.0,3.0,1360,145,0.6791883070810274,0.3887726873625069,0.8482758620689655,0.4609053497942387,0.15809768637532134,0.9621993127147767,123,22,655,560
weekly_collapsed,120,90,4.0,3.0,3925,462,0.7088053923167986,0.4055592877899899,0.854978354978355,0.48888247184522093,0.18244803695150116,0.9619318181818182,395,67,1770,1693
biweekly_collapsed,120,90,4.0,3.0,1972,214,0.7006820622415022,0.43038439460926586,0.8037383177570093,0.5164960182025028,0.16829745596868884,0.9557894736842105,172,42,850,908
monthly_collapsed,120,90,4.0,3.0,964,114,0.7024148606811146,1.5741649698466036,0.8596491228070176,0.48470588235294115,0.1828358208955224,0.9626168224299065,98,16,438,412
daily,120,120,4.0,4.0,36279,5432,0.6940964671568017,0.39455771988088434,0.8203240058910162,0.4826725451421532,0.21828157147055943,0.9384809328710999,4456,976,15958,14889
weekly,120,120,4.0,4.0,5231,778,0.6940253443996912,0.39455771988088434,0.8239074550128535,0.48192229957332133,0.21743554952510177,0.9399912395970215,641,137,2307,2146
biweekly,120,120,4.0,4.0,2649,391,0.6910309238649055,0.39279266018420456,0.8235294117647058,0.4782993799822852,0.21466666666666667,0.9399477806788512,322,69,1178,1080
monthly_sample,120,120,4.0,4.0,1277,187,0.6909483393023598,0.3887726873625069,0.839572192513369,0.4761467889908257,0.21565934065934067,0.9453551912568307,157,30,571,519
weekly_collapsed,120,120,4.0,4.0,3678,573,0.7190389873901522,0.38698810338974,0.8691099476439791,0.4821256038647343,0.23646723646723647,0.9522900763358778,498,75,1608,1497
biweekly_collapsed,120,120,4.0,4.0,1789,296,0.7170806104161764,0.5933437504702144,0.6418918918918919,0.696584058941728,0.2954898911353033,0.9075043630017452,190,106,453,1040
