,gene_ID,gene_name
22004,ENSG00000175262.14,C1orf127
22091,ENSG00000215785.2,CFL1P6
22095,ENSG00000120948.19,TARDBP
22547,ENSG00000009724.17,MASP2
22597,ENSG00000116649.10,SRM
22660,ENSG00000171824.14,EXOSC10
22826,ENSG00000226849.1,RP4-635E18.7
22830,ENSG00000230337.1,EXOSC10-AS1
22837,ENSG00000198793.13,MTOR
23045,ENSG00000225602.5,MTOR-AS1
23056,ENSG00000253086.1,RNU6-537P
23059,ENSG00000171819.5,ANGPTL7
23079,ENSG00000207451.1,RNU6-291P
23082,ENSG00000238173.1,RPL39P6
23085,ENSG00000120942.14,UBIAD1
23126,ENSG00000238199.1,UBE2V2P3
23130,ENSG00000284646.1,RP4-796F18.3
23136,ENSG00000224338.2,MTCYBP45
23139,ENSG00000204624.8,DISP3
23205,ENSG00000285833.1,RP11-149P14.2
23209,ENSG00000235643.2,LINC01647
23214,ENSG00000284708.1,RP3-330O12.5
23218,ENSG00000116661.11,FBXO2
23272,ENSG00000132879.14,FBXO44
23414,ENSG00000116663.11,FBXO6
23448,ENSG00000116670.15,MAD2L2
23610,ENSG00000162490.7,DRAXIN
23630,ENSG00000177674.16,AGTRAP
23788,ENSG00000215910.7,C1orf167
23928,ENSG00000177553.6,C1orf167-AS1
23933,ENSG00000177000.13,MTHFR
24261,ENSG00000011021.23,CLCN6
24524,ENSG00000276470.1,ENSG10010138681.1
24527,ENSG00000278852.1,ENSG10010135835.1
24530,ENSG00000175206.10,NPPA
24566,ENSG00000275915.1,ENSG10010134403.1
24569,ENSG00000120937.9,NPPB
24581,ENSG00000224904.1,SBF1P2
24584,ENSG00000285646.2,RP5-934G17.7
24603,ENSG00000199347.1,RNU5E-1
24606,ENSG00000201801.1,RNU5E-4P
24609,ENSG00000116685.16,KIAA2013
24643,ENSG00000083444.17,PLOD1
24756,ENSG00000287384.1,RP5-1077B9.6
24759,ENSG00000116688.18,MFN2
25634,ENSG00000270914.1,RP5-1077B9.5
25637,ENSG00000116691.11,MIIP
25697,ENSG00000202461.1,Y_RNA
25700,ENSG00000276869.1,MIR6729
25703,ENSG00000243539.3,RN7SL649P
25706,ENSG00000120949.15,TNFRSF8
25828,ENSG00000201135.1,RNU6-777P
25831,ENSG00000227875.2,RPL23AP89
25834,ENSG00000285604.1,RP11-426M1.3
25840,ENSG00000283789.1,MIR7846
25843,ENSG00000028137.19,TNFRSF1B
25898,ENSG00000263676.1,MIR4632
25901,ENSG00000225196.2,RPL10P17
25904,ENSG00000252969.1,SNORA70
25907,ENSG00000048707.15,VPS13D
26553,ENSG00000239149.1,SNORA59A
26556,ENSG00000229484.1,LINC02766
26560,ENSG00000162496.9,DHRS3
26603,ENSG00000221340.1,RNU6ATAC18P
26606,ENSG00000276830.1,MIR6730
26609,ENSG00000272482.1,RP11-474O21.5
26612,ENSG00000204518.3,AADACL4
26626,ENSG00000226166.2,RP11-474O21.2
26629,ENSG00000188984.12,AADACL3
26647,ENSG00000157330.10,C1orf158
26675,ENSG00000116726.5,PRAMEF12
26687,ENSG00000116721.9,PRAMEF1
26704,ENSG00000228338.1,LINC01784
26708,ENSG00000239810.3,PRAMEF11
26722,ENSG00000231103.2,PRAMEF30P
26728,ENSG00000179172.10,HNRNPCL1
